  Analyzer:  ;  PQM-710 (BR0070)  
  Recording start:   ;  2024-08-23 19:26:10.467  
  Recording stop:   ;  2024-08-23 19:47:15.017  
  Time:  ;  (UTC-6)  
  Flag:  ;
  E  - event  ;
  Ef - event (Fast stream data)  ;
  P  - PLL no synchronization  ;
  Pf - PLL no synchronization (Fast stream data)  ;
  G  - GPS no synchronization  ;
  Gf - GPS no synchronization (Fast stream data)  ;
  T  - time resynchronization  ;
  Tf - time resynchronization (Fast stream data)  ;
  A  - A/D overflow  ;
  Af - A/D overflow (Fast stream data)  ;

;;'E / Ef';'P / Pf';'G / Gf';'T / Tf';'A / Af';  Date        ;  Time (UTC-6)  ;  f L1 avg. 3 s [Hz]  ;  U L1 avg. 3 s [V]  ;  I *L1 avg. 3 s [A]  ;  I *N avg. 3 s [A]  
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-08-23  ;  19:28:37.509  ;  59,99               ;  12,078             ;  0,15327             ;  0,67835            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-08-23  ;  19:28:40.509  ;  59,99               ;  12,078             ;  0,15606             ;  0,67912            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-08-23  ;  19:28:43.508  ;  60,00               ;  12,082             ;  0,15285             ;  0,68046            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-08-23  ;  19:28:46.506  ;  60,00               ;  12,080             ;  0,15167             ;  0,67973            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-08-23  ;  19:28:49.504  ;  60,00               ;  12,078             ;  0,15225             ;  0,67933            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-08-23  ;  19:28:52.502  ;  60,03               ;  12,078             ;  0,15375             ;  0,68011            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-08-23  ;  19:28:55.501  ;  60,03               ;  12,072             ;  0,15355             ;  0,67885            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-08-23  ;  19:28:58.500  ;  60,03               ;  12,073             ;  0,15299             ;  0,67915            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-08-23  ;  19:29:01.499  ;  60,03               ;  12,073             ;  0,15537             ;  0,67605            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-08-23  ;  19:29:04.498  ;  60,02               ;  12,073             ;  0,15300             ;  0,67856            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-08-23  ;  19:29:07.497  ;  60,02               ;  12,071             ;  0,15665             ;  0,67772            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-08-23  ;  19:29:10.496  ;  60,02               ;  12,072             ;  0,15469             ;  0,67758            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-08-23  ;  19:29:13.495  ;  60,02               ;  12,074             ;  0,15526             ;  0,67662            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-08-23  ;  19:29:16.494  ;  60,02               ;  12,073             ;  0,15300             ;  0,67826            
