  Analyzer:  ;  PQM-710 (BR0070)  
  Recording start:   ;  2024-06-21 20:06:27.953  
  Recording stop:   ;  2024-06-21 20:26:32.970  
  Time:  ;  (UTC-6)  
  Flag:  ;
  E  - event  ;
  Ef - event (Fast stream data)  ;
  P  - PLL no synchronization  ;
  Pf - PLL no synchronization (Fast stream data)  ;
  G  - GPS no synchronization  ;
  Gf - GPS no synchronization (Fast stream data)  ;
  T  - time resynchronization  ;
  Tf - time resynchronization (Fast stream data)  ;
  A  - A/D overflow  ;
  Af - A/D overflow (Fast stream data)  ;

;;'E / Ef';'P / Pf';'G / Gf';'T / Tf';'A / Af';  Date        ;  Time (UTC-6)  ;  f L1 avg. 3 s [Hz]  ;  U L1 avg. 3 s [V]  ;  U N-PE avg. 3 s [V]  ;  I *L1 avg. 3 s [A]  ;  I *N avg. 3 s [A]  
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-06-21  ;  20:09:33.951  ;  59,99               ;  12,339             ;  26,040               ;  0,77852             ;  0,26553            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-06-21  ;  20:09:36.952  ;  59,99               ;  12,339             ;  26,018               ;  0,77806             ;  0,26641            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-06-21  ;  20:09:39.953  ;  59,99               ;  12,341             ;  25,982               ;  0,77841             ;  0,26517            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-06-21  ;  20:09:42.954  ;  59,98               ;  12,341             ;  25,991               ;  0,77768             ;  0,26537            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-06-21  ;  20:09:45.955  ;  59,98               ;  12,339             ;  25,986               ;  0,77875             ;  0,26572            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-06-21  ;  20:09:48.955  ;  59,98               ;  12,340             ;  25,993               ;  0,77895             ;  0,26600            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-06-21  ;  20:09:51.957  ;  59,98               ;  12,340             ;  25,990               ;  0,77883             ;  0,26638            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-06-21  ;  20:09:54.957  ;  59,98               ;  12,339             ;  25,991               ;  0,77871             ;  0,26567            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-06-21  ;  20:09:57.958  ;  59,98               ;  12,339             ;  25,988               ;  0,77942             ;  0,26516            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-06-21  ;  20:10:00.800  ;  59,98               ;  12,340             ;  25,995               ;  0,77910             ;  0,26460            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-06-21  ;  20:10:03.000  ;  59,98               ;  12,343             ;  26,001               ;  0,77957             ;  0,26504            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-06-21  ;  20:10:06.000  ;  59,98               ;  12,346             ;  26,016               ;  0,77908             ;  0,26622            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-06-21  ;  20:10:08.999  ;  59,98               ;  12,347             ;  26,017               ;  0,77893             ;  0,26574            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-06-21  ;  20:10:11.998  ;  60,00               ;  12,344             ;  26,013               ;  0,77874             ;  0,26509            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-06-21  ;  20:10:14.997  ;  60,01               ;  12,347             ;  26,019               ;  0,77833             ;  0,26568            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-06-21  ;  20:10:17.996  ;  60,01               ;  12,345             ;  26,017               ;  0,77856             ;  0,26643            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-06-21  ;  20:10:20.994  ;  60,01               ;  12,345             ;  26,019               ;  0,77776             ;  0,26446            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-06-21  ;  20:10:23.993  ;  60,02               ;  12,342             ;  26,013               ;  0,77749             ;  0,26508            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-06-21  ;  20:10:26.992  ;  60,02               ;  12,344             ;  26,014               ;  0,77778             ;  0,26605            
