  Analyzer:  ;  PQM-710 (BR0070)  
  Recording start:   ;  2024-10-11 19:59:02.586  
  Recording stop:   ;  2024-10-11 20:13:59.975  
  Time:  ;  (UTC-6)  
  Flag:  ;
  E  - event  ;
  Ef - event (Fast stream data)  ;
  P  - PLL no synchronization  ;
  Pf - PLL no synchronization (Fast stream data)  ;
  G  - GPS no synchronization  ;
  Gf - GPS no synchronization (Fast stream data)  ;
  T  - time resynchronization  ;
  Tf - time resynchronization (Fast stream data)  ;
  A  - A/D overflow  ;
  Af - A/D overflow (Fast stream data)  ;

;;'E / Ef';'P / Pf';'G / Gf';'T / Tf';'A / Af';  Date        ;  Time (UTC-6)  ;  f L1 avg. 3 s [Hz]  ;  U L1 avg. 3 s [V]  ;  I *L1 avg. 3 s [A]  ;  I *N avg. 3 s [A]  
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  20:01:35.985  ;  60.00               ;  12.413             ;  0.58774             ;  0.31700            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  20:01:38.984  ;  60.00               ;  12.411             ;  0.58941             ;  0.31817            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  20:01:41.983  ;  60.00               ;  12.413             ;  0.58791             ;  0.31948            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  20:01:44.981  ;  60.00               ;  12.410             ;  0.58869             ;  0.31860            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  20:01:47.980  ;  60.00               ;  12.408             ;  0.58949             ;  0.31856            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  20:01:50.980  ;  60.01               ;  12.407             ;  0.58941             ;  0.31872            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  20:01:53.980  ;  60.03               ;  12.405             ;  0.58838             ;  0.31866            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  20:01:56.980  ;  60.03               ;  12.407             ;  0.58672             ;  0.31937            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  20:01:59.981  ;  60.03               ;  12.409             ;  0.58743             ;  0.31863            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  20:02:02.981  ;  59.99               ;  12.410             ;  0.58877             ;  0.31951            
