"","Frecuencia","TVSec(V)","ISec(A)","Iprim(A)","TNucleoSup","TDevPrim","TDevSec","Tambiente","V_In","Estado"
"110",59.97,12.165,0.67377,0.22276,27.44,25.37,24.94,24.87,119.9,"Bueno"
"111",59.97,12.164,0.67502,0.22352,27.5,25.31,24.94,24.81,119.9,"Bueno"
"112",59.97,12.166,0.67386,0.22316,27.5,25.31,24.94,24.87,119.9,"Bueno"
"113",59.97,12.164,0.67525,0.22313,27.5,25.31,24.94,24.87,119.9,"Bueno"
"114",59.97,12.169,0.67615,0.22334,27.56,25.31,24.94,24.87,119.9,"Bueno"
"115",59.96,12.166,0.67486,0.22378,27.56,25.31,24.94,24.81,119.9,"Bueno"
"116",59.96,12.166,0.67441,0.22344,27.56,25.31,24.94,24.87,119.9,"Bueno"
"117",59.96,12.157,0.67365,0.22428,27.62,25.31,24.94,24.81,119.9,"Bueno"
"118",59.96,12.155,0.6748,0.22329,27.56,25.31,24.94,24.87,119.9,"Bueno"
"119",59.96,12.153,0.67487,0.22407,27.62,25.31,24.94,24.81,119.9,"Bueno"
"120",59.96,12.155,0.67529,0.22365,27.62,25.31,24.94,24.81,119.9,"Bueno"
"121",59.96,12.155,0.67623,0.22292,27.62,25.31,24.94,24.81,119.9,"Bueno"
"122",59.96,12.139,0.6744,0.22271,27.69,25.31,24.94,24.81,119.9,"Bueno"
"123",59.96,12.145,0.67354,0.22314,27.69,25.31,24.94,24.81,119.9,"Bueno"
"124",59.96,12.142,0.67344,0.2234,27.69,25.31,24.94,24.81,119.9,"Bueno"
"125",59.96,12.144,0.67239,0.22236,27.75,25.37,24.94,24.81,119.9,"Bueno"
"126",59.96,12.139,0.6729,0.22335,27.75,25.31,24.94,24.81,119.9,"Bueno"
"127",59.96,12.138,0.67129,0.22221,27.75,25.31,24.94,24.81,119.9,"Bueno"
"128",59.97,12.144,0.67304,0.22273,27.75,25.31,24.94,24.81,119.9,"Bueno"
"129",59.97,12.141,0.67048,0.22404,27.81,25.37,24.94,24.81,119.9,"Bueno"
"130",59.97,12.139,0.67317,0.22275,27.81,25.31,24.94,24.81,119.9,"Bueno"
"131",59.97,12.141,0.67298,0.22234,27.81,25.37,25,24.81,119.9,"Bueno"
"132",59.98,12.138,0.67381,0.22271,27.81,25.44,24.94,24.81,119.9,"Bueno"
"133",59.98,12.144,0.67243,0.22099,27.87,25.37,25,24.75,119.9,"Bueno"
"134",59.98,12.145,0.67097,0.22118,27.87,25.37,25,24.75,119.9,"Bueno"
"135",59.99,12.148,0.67293,0.22395,27.87,25.44,25,24.75,119.9,"Bueno"
"136",59.99,12.149,0.67376,0.22289,27.94,25.37,24.94,24.81,119.9,"Bueno"
"137",59.99,12.144,0.67598,0.22219,27.94,25.37,25,24.81,119.9,"Bueno"
"138",60,12.145,0.67645,0.2208,27.94,25.44,25.06,24.75,119.9,"Bueno"
"139",60.01,12.145,0.67557,0.22163,27.94,25.44,25.06,24.75,119.9,"Bueno"
"140",60.01,12.144,0.67226,0.22198,27.94,25.37,25,24.81,119.9,"Bueno"
"141",60.01,12.144,0.67388,0.22311,27.94,25.44,25,24.81,119.9,"Bueno"
"142",60.02,12.14,0.67264,0.22186,27.94,25.44,25.06,24.81,119.9,"Bueno"
"143",60.02,12.142,0.67346,0.2224,28,25.44,25,24.75,119.9,"Bueno"
"144",60.02,12.141,0.67442,0.22154,28,25.44,25,24.75,119.9,"Bueno"
"145",60.01,12.146,0.67456,0.22161,28,25.37,25.06,24.75,119.9,"Bueno"
"146",60.01,12.149,0.67586,0.2229,28.06,25.44,25.06,24.75,119.9,"Bueno"
"147",60.01,12.153,0.67565,0.22226,28.06,25.44,25.06,24.75,119.9,"Bueno"
"148",60.01,12.151,0.67466,0.2227,28.06,25.44,25.06,24.75,119.9,"Bueno"
"149",60.01,12.153,0.67512,0.22182,28.06,25.44,25.06,24.75,119.9,"Bueno"
"150",60.01,12.153,0.67495,0.22244,28.12,25.44,25.06,24.75,119.9,"Bueno"
"151",60.01,12.157,0.67516,0.22214,28.06,25.44,25.06,24.75,119.9,"Bueno"
"152",60.01,12.158,0.67584,0.22409,28.12,25.44,25.06,24.81,119.9,"Bueno"
"153",60.01,12.159,0.6755,0.22358,28.12,25.44,25.12,24.75,119.9,"Bueno"
"154",60.01,12.159,0.677,0.22476,28.12,25.44,25.06,24.69,119.9,"Bueno"
"155",60,12.16,0.67873,0.22284,28.12,25.44,25.06,24.69,119.9,"Bueno"
"156",60,12.164,0.6769,0.22334,28.19,25.44,25.12,24.69,119.9,"Bueno"
"157",60,12.168,0.67689,0.2238,28.19,25.5,25.12,24.69,119.9,"Bueno"
"158",60.01,12.168,0.676,0.2232,28.19,25.5,25.12,24.75,119.9,"Bueno"
"159",60.03,12.166,0.67649,0.22351,28.19,25.5,25.12,24.75,119.9,"Bueno"
"160",60.03,12.166,0.67484,0.22291,28.19,25.5,25.12,24.75,119.9,"Bueno"
"161",60.03,12.166,0.67665,0.22367,28.19,25.44,25.12,24.69,119.9,"Bueno"
"162",60.03,12.168,0.6758,0.22367,28.25,25.5,25.12,24.75,119.9,"Bueno"
